object_id,epsilon_time_one_step,epsilon_space_one_step,passed_time_threshold
fhn32,3.730045463932964e-12,,true
fhn64,3.736436566959412e-12,0.0013107324811911657,true
ks64,2.231860628035203e-7,2.2343529563028643e-7,true
