trajectory_id,trajectory_index,energy_mean,energy_std,energy_min,energy_max,energy_early_mean,energy_late_mean,energy_late_minus_early
l96_nx40_complete_state_v1_traj_001,1,9.207194677120059,1.008769772141102,6.610911964235771,12.14947148993714,9.305556619622374,9.108928697488475,-0.19662792213389935
l96_nx40_complete_state_v1_traj_002,2,9.16347969842401,0.8862565756777435,6.314600258280391,12.072773656643708,9.28519889129511,9.041879255984984,-0.2433196353101259
l96_nx40_complete_state_v1_traj_003,3,9.434893685028719,0.8721576933546233,6.911339797994694,12.305560506691561,9.315113953371055,9.554556558411594,0.23944260504053894
l96_nx40_complete_state_v1_traj_004,4,9.261415071074957,0.8459175499682665,7.145424258236341,11.501539257327043,9.34774015096936,9.1751742107707,-0.172565940198659
l96_nx40_complete_state_v1_traj_005,5,9.449928881529253,0.8384613489814832,6.703989134080638,11.919703125935964,9.369490761327906,9.530288525515768,0.16079776418786196
l96_nx40_complete_state_v1_traj_006,6,9.428602389534724,1.012835826304428,7.111177548225837,12.422141932105747,9.3931024924505,9.464067652573013,0.07096516012251186
l96_nx40_complete_state_v1_traj_007,7,9.14064273748714,0.9572980820276179,6.643513158588941,11.870652615591156,9.24761486274139,9.033774975281911,-0.21383988745947846
l96_nx40_complete_state_v1_traj_008,8,9.419365903825272,0.9438980307852269,6.988355539511147,12.269914035766929,9.481408675199518,9.357383661984073,-0.12402501321544435
l96_nx40_complete_state_v1_traj_009,9,9.35994219811387,0.970424834824304,7.291625757621185,12.904889770297075,9.23361414747018,9.486147001878882,0.25253285440870243
l96_nx40_complete_state_v1_traj_010,10,9.222238810675567,0.9257217143126325,7.125780804749835,12.48541693032849,9.170647809608727,9.273779479058433,0.10313166944970575
l96_nx40_complete_state_v1_traj_011,11,9.1645237442465,0.9202596728007758,6.619859813803629,11.58245999163741,9.014983118334055,9.313918476865368,0.29893535853131326
l96_nx40_complete_state_v1_traj_012,12,9.46750381382029,0.9416850779642311,7.128942940090836,11.931939736822232,9.484192401779113,9.450831507410696,-0.033360894368417604
l96_nx40_complete_state_v1_traj_013,13,9.434962948347916,0.809528162603375,7.477702230116468,11.687184902111056,9.533246440403625,9.336775342625927,-0.19647109777769778
l96_nx40_complete_state_v1_traj_014,14,9.667116983639591,0.9364411860720299,6.945896927152704,11.942797847610507,9.657339471651724,9.67688495659138,0.019545484939655466
l96_nx40_complete_state_v1_traj_015,15,9.24265979247945,0.8840476936611779,7.011900590317557,11.758653546221954,9.267376890356086,9.217966808844649,-0.049410081511437554
l96_nx40_complete_state_v1_traj_016,16,9.41627096596026,0.9538616762475641,7.189068572450628,12.354240737877458,9.375128088689383,9.457373703838675,0.08224561514929185
l96_nx40_complete_state_v1_traj_017,17,9.269734478132545,0.9127578954981539,6.807798493890469,12.641847330468241,9.067717417786046,9.471554448664076,0.40383703087803013
l96_nx40_complete_state_v1_traj_018,18,9.550067536687623,1.030035623999068,6.687387103895324,12.63965198781445,9.338557312392977,9.761371409543933,0.4228140971509564
l96_nx40_complete_state_v1_traj_019,19,9.311117622577457,1.0155701947217484,6.100507968061681,12.066157829169073,9.663613725091452,8.958965418700064,-0.7046483063913875
l96_nx40_complete_state_v1_traj_020,20,9.36671829746353,0.933524355093958,6.568113081803736,11.916853676152213,9.323477536037155,9.4099168727812,0.08643933674404458
l96_nx40_complete_state_v1_traj_021,21,9.42378699234825,0.9565142545635167,6.334120449011036,12.022985777110856,9.358869611667231,9.488641038999342,0.1297714273321109
l96_nx40_complete_state_v1_traj_022,22,9.571976599990533,0.9328342667440189,7.220667527407865,11.844942102799358,9.47046802906615,9.673386138162796,0.20291810909664498
l96_nx40_complete_state_v1_traj_023,23,9.598188368306692,1.002267025592131,6.292419490655355,12.352522981044105,9.507893857560042,9.688394786847732,0.18050092928769068
l96_nx40_complete_state_v1_traj_024,24,9.466321856179965,0.9835985562694718,6.587555976733188,12.507602397326703,9.509216285776139,9.423469274807786,-0.08574701096835291
l96_nx40_complete_state_v1_traj_025,25,9.248002410308443,1.0204127003594203,6.586996882483082,11.914010883932972,9.38943248645615,9.10671031472284,-0.28272217173330993
l96_nx40_complete_state_v1_traj_026,26,9.5860439343208,1.0655556934813197,7.132246638147011,12.3631079042936,9.697603232037476,9.47459347494336,-0.22300975709411652
l96_nx40_complete_state_v1_traj_027,27,9.44243820168309,0.8503617330179672,7.224544283981887,11.779322340674122,9.586406496234602,9.298610364004317,-0.28779613223028555
l96_nx40_complete_state_v1_traj_028,28,9.471318993701123,0.8216101426972969,7.334936280836361,11.799661623496286,9.416768479578804,9.525816287809663,0.10904780823085858
